小学一年级	WhichGradeSure
小学二年级	WhichGradeSure
小学三年级	WhichGradeSure
小学四年级	WhichGradeSure
小学五年级	WhichGradeSure
小学六年级	WhichGradeSure
小升初	WhichGradeSure
一年级	WhichGradeSure
二年级	WhichGradeSure
三年级	WhichGradeSure
四年级	WhichGradeSure
五年级	WhichGradeSure
六年级	WhichGradeSure
七年级	WhichGradeSure
八年级	WhichGradeSure
九年级	WhichGradeSure
初一	WhichGradeSure
初二	WhichGradeSure
初三	WhichGradeSure
初中一年级	WhichGradeSure
初中二年级	WhichGradeSure
初中三年级	WhichGradeSure
上高中了	Graduated
高一	Graduated
高二	Graduated
高三	Graduated
高中一年级	Graduated
高中二年级	Graduated
高中三年级	Graduated
上大学了	Graduated
上幼儿园	Graduated
高中毕业	Graduated
没兴趣	CommonRefuse
没时间	CommonRefuse
不需要	CommonRefuse
不用	CommonRefuse
我不参加	CommonRefuse
没有时间	CommonRefuse
先挂了	CommonRefuse
不要	CommonRefuse
不行	CommonRefuse
不可以	CommonRefuse
不麻烦了	CommonRefuse
没需求	CommonRefuse
用不到	CommonRefuse
没有意向	CommonRefuse
不感兴趣	CommonRefuse
不想要	CommonRefuse
已经报过了	CommonRefuse
有补习了	CommonRefuse
有辅导班了	CommonRefuse
有家教	CommonRefuse
已经报班了	CommonRefuse
不太想听	CommonRefuse
不想听	CommonRefuse
没有兴趣	CommonRefuse
不方便	CommonRefuse
没钱	CommonRefuse
不考虑	CommonRefuse
再见	CommonRefuse
不好意思	CommonRefuse
别打来了	CommonRefuse
搞错了吧	CommonRefuse
以后再说	CommonRefuse
等有空再说	CommonRefuse
不太愿意	CommonRefuse
报了其他辅导班了	CommonRefuse
已经定了课程了	CommonRefuse
回头和你联系	CommonRefuse
不用了不用了谢谢	CommonRefuse
我再考虑一下吧	CommonRefuse
等有时间再说吧	CommonRefuse
到时候再约吧	CommonRefuse
他说不用了	CommonRefuse
就不用了	CommonRefuse
不听了	CommonRefuse
初中	GeneralGrade
小学	GeneralGrade
上初中了	GeneralGrade
上小学	GeneralGrade
语文	WhichSubjectPoorSure
数学	WhichSubjectPoorSure
英语	WhichSubjectPoorSure
物理	WhichSubjectPoorSure
化学	WhichSubjectPoorSure
作文	WhichSubjectPoorSure
阅读理解	WhichSubjectPoorSure
古文	WhichSubjectPoorSure
文言文	WhichSubjectPoorSure
拼音	WhichSubjectPoorSure
古诗词鉴赏	WhichSubjectPoorSure
成语	WhichSubjectPoorSure
计算	WhichSubjectPoorSure
几何	WhichSubjectPoorSure
证明	WhichSubjectPoorSure
口算	WhichSubjectPoorSure
代数	WhichSubjectPoorSure
应用题	WhichSubjectPoorSure
函数	WhichSubjectPoorSure
方程	WhichSubjectPoorSure
听力	WhichSubjectPoorSure
完型填空	WhichSubjectPoorSure
口语	WhichSubjectPoorSure
英语作文	WhichSubjectPoorSure
英语阅读理解	WhichSubjectPoorSure
词汇量	WhichSubjectPoorSure
发音	WhichSubjectPoorSure
都不太行	WhichSubjectPoorNeutral
都挺弱的	WhichSubjectPoorNeutral
都挺差的	WhichSubjectPoorNeutral
都差不多	WhichSubjectPoorNeutral
都还可以	WhichSubjectPoorNeutral
都还行	WhichSubjectPoorNeutral
都可以	WhichSubjectPoorNeutral
我不知道	WhichSubjectPoorNeutral
